id,name,code,account_type,chart_template_id/id,reconcile
qa_account_100101,Right of use Asset (IFRS 16),100101,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_100102,Accumulated Depreciation right use asset (IFRS 16),100102,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_100103,VAT Receivable,100103,asset_non_current,l10n_qa.qa_chart_template_standard,False
qa_account_101004,Outstanding Receipts,101004,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_101005,Main Safe,101005,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_101006,Main Safe - Foreign Currency,101006,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_101007,Visa & Master Credit Cards,101007,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_101008,Gateway Credit Cards,101008,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_101009,Manual Visa & Master Cards,101009,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_102012,Accounts Receivable (PoS),102012,asset_receivable,l10n_qa.qa_chart_template_standard,True
qa_account_102013,Post Dated Cheques Received,102013,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_102015,Other Debtors,102015,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_103016,Shipment Insurance,103016,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_103017,Shipments Documentation Charges,103017,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_103018,Shipment Other Charges,103018,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_103019,Handling Difference in Inventory,103019,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_103020,Items Delivered to Customs on temporary Base,103020,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104021,Prepaid Medical Insurance,104021,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104022,Prepaid Life Insurance,104022,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104023,Prepaid Office Rent,104023,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104024,Prepaid Other Insurance,104024,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104025,Prepaid License Fees,104025,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104026,Prepaid Maintenance,104026,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104027,Prepaid Site Hosting Fees,104027,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104028,Prepaid Employees Housing,104028,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104029,Prepaid Schooling Fees,104029,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104030,Prepaid Consultancy Fees,104030,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104031,Prepaid Legal Fees,104031,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104032,Prepaid Sponsorship Fees,104032,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104033,PrePaid Advertisement Expenses,104033,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104034,Prepaid Bank Guarantee,104034,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104035,Other Prepayments,104035,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104036,Prepaid Finance charge for Loans,104036,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104037,Deposit - Office Rent,104037,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104038,Deposits - Customs,104038,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104039,Deposit to Immigration (Visa),104039,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104040,Deposit Others,104040,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_104041,VAT Input,104041,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_105003,Outstanding Payments,105003,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106001,Leasehold Improvement,106001,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106002,Furniture and Equipment,106002,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106003,Computer Hardware & Software,106003,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106004,Motor Vehicles,106004,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106005,Work In Progress,106005,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106006,Amortisation on Leasehold Improvement,106006,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106007,Acc.Deprn.of Furniture & Office Equipment,106007,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106008,Acc. Deprn.Computer Hardware & Software,106008,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106009,Acc. Depreciation of Motor Vehicles,106009,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106010,Registration of Trademarks,106010,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_106011,Computer Card Renewal,106011,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_111001,Agricultural Lands,111001,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_111002,Buildings,111002,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_112001,Cars,112001,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_112002,Trucks,112002,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_113001,Furnitures,113001,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_113002,Special Equipments,113002,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_113003,Electrical and Electronic Devices,113003,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_113004,Hardware and Software,113004,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_114001,Accum Buildings,114001,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_114002,Accum Cars,114002,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_114003,Accum Furniture,114003,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_114004,Accum Machines and equipments,114004,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_114005,Accum Electrical and electronic devices,114005,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_114006,Accum Computer and software,114006,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_115001,Famous brand,115001,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_115002,Patents,115002,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_115003,Trademarks,115003,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_115004,Software and System,115004,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_116001,Organization Expense,116001,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_116002,Advertising and Promotion,116002,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_117001,Deferred Income Tax,117001,asset_fixed,l10n_qa.qa_chart_template_standard,False
qa_account_121102,Foreign Currency Cash,121102,asset_cash,l10n_qa.qa_chart_template_standard,False
qa_account_121202,Foreign Currency Bank,121202,asset_cash,l10n_qa.qa_chart_template_standard,False
qa_account_121301,PayPal,121301,liability_credit_card,l10n_qa.qa_chart_template_standard,False
qa_account_121302,Visa Card,121302,liability_credit_card,l10n_qa.qa_chart_template_standard,False
qa_account_121303,Master Card,121303,liability_credit_card,l10n_qa.qa_chart_template_standard,False
qa_account_122001,(INV) RAW Materials,122001,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_122002,(INV)  Ready Made Materials,122002,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_122003,(INV) Transfer RAW,122003,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_122004,(INV) Transfer Products,122004,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_122005,(INV) Transfer Stock Production,122005,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_123001,Accounts Receivable,123001,asset_receivable,l10n_qa.qa_chart_template_standard,True
qa_account_123002,Employees Imprest,123002,asset_receivable,l10n_qa.qa_chart_template_standard,True
qa_account_123003,Branches Company,123003,asset_receivable,l10n_qa.qa_chart_template_standard,True
qa_account_123004,Reimbursable Income taxes,123004,asset_current,l10n_qa.qa_chart_template_standard,True
qa_account_123005,Reimbursable outcome taxes,123005,asset_current,l10n_qa.qa_chart_template_standard,True
qa_account_123006,Accounts Payable with Debit Balances,123006,asset_receivable,l10n_qa.qa_chart_template_standard,True
qa_account_123007,Other Receivables,123007,asset_receivable,l10n_qa.qa_chart_template_standard,True
qa_account_124001,Prepaid Rents,124001,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_124002,Prepaid Wages,124002,asset_current,l10n_qa.qa_chart_template_standard,False
qa_account_125001,Profit on others,125001,asset_receivable,l10n_qa.qa_chart_template_standard,True
qa_account_201001,Bank Suspense Account,201001,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201003,Credit Notes to Customers,201003,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201004,Accrued - Salaries,201004,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201005,Leave Tickets Provision,201005,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201006,Leave Days Provision,201006,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201007,Accrued - Commissions,201007,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201008,Accrued Salaries Increment,201008,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201009,Accrued-Staff Bonus,201009,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201010,Accrued Other Personnel Cost,201010,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201011,Accrued - Utilities,201011,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201012,Accrued - Telephone,201012,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201013,Accrued - Sponsorship,201013,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201014,Accrued - Audit Fees,201014,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201015,Accrued - Office Rent,201015,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201016,Accrued Others,201016,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201017,VAT Output,201017,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_201018,Deferred income,201018,liability_current,l10n_qa.qa_chart_template_standard,False
qa_account_202001,End of Service Provision,202001,liability_non_current,l10n_qa.qa_chart_template_standard,False
qa_account_202002,Reservations,202002,liability_non_current,l10n_qa.qa_chart_template_standard,False
qa_account_202003,VAT Payable,202003,liability_non_current,l10n_qa.qa_chart_template_standard,False
qa_account_211001,Owners share 1,211001,equity,l10n_qa.qa_chart_template_standard,False
qa_account_211002,Owners share 2,211002,equity,l10n_qa.qa_chart_template_standard,False
qa_account_221001,Owners Profits 1,221001,equity,l10n_qa.qa_chart_template_standard,False
qa_account_221002,Owners Profits 2,221002,equity,l10n_qa.qa_chart_template_standard,False
